rank,country,category,product_idea,target_segment,channel_strategy,priority_level,recommended_action,scenario,product_opportunity_score,estimated_units,estimated_price_usd,gross_revenue_usd,net_revenue_usd,cogs_pct,logistics_pct,marketing_pct,trade_promo_pct,distributor_margin_pct,contribution_profit_usd,contribution_margin_pct,contribution_per_unit_usd,break_even_units,scenario_profitability_score,scenario_revenue_score,scenario_business_score,profitability_label,scenario_recommendation,idea_rationale,business_rationale
18,Australia,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,56.47,40931,9.63,394165.53,353172.31,0.479,0.105,0.081,0.104,0.147,66396.4,0.188,1.62,17418.0,0.4581939799331104,0.3071474582278122,39.78,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
19,Australia,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,56.08,81782,6.56,536489.92,502691.06,0.443,0.061,0.107,0.063,0.089,150807.32,0.3,1.84,21809.0,0.8327759197324415,0.5511873557550073,72.01,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
19,Australia,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,56.08,65496,6.03,394940.88,352682.21,0.419,0.106,0.108,0.107,0.106,92050.06,0.261,1.41,20076.0,0.7023411371237459,0.3063475321063186,54.39,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
19,Australia,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,56.08,53299,7.32,390148.68,356205.74,0.499,0.089,0.071,0.087,0.136,73022.18,0.205,1.37,20800.0,0.5150501672240803,0.3120985292229611,43.39,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
20,Singapore,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,55.88,94259,5.09,479778.31,433719.59,0.387,0.06,0.127,0.096,0.138,124911.24,0.288,1.33,26184.0,0.7926421404682273,0.43861424722447184,65.1,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
20,Singapore,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,55.88,48108,5.38,258821.04,237856.54,0.454,0.079,0.089,0.081,0.1,66124.12,0.278,1.37,13845.0,0.7591973244147158,0.11893261096571567,50.31,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
20,Singapore,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,55.88,40485,5.42,219428.7,196827.54,0.404,0.095,0.134,0.103,0.114,49797.37,0.253,1.23,12802.0,0.6755852842809364,0.05196634114575471,42.61,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
21,Thailand,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,55.84,51635,6.35,327882.25,294766.14,0.382,0.113,0.1,0.101,0.15,75165.37,0.255,1.46,16200.0,0.6822742474916388,0.2118187068721733,49.41,High profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.",Opportunity supported by favorable price feasibility.
21,Thailand,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,55.84,43171,6.8,293562.8,267142.15,0.404,0.08,0.129,0.09,0.093,78539.79,0.294,1.82,11748.0,0.8127090301003344,0.16673168140618821,55.43,High profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.",Opportunity supported by favorable price feasibility.
21,Thailand,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,55.84,34541,7.88,272183.08,256124.28,0.396,0.071,0.097,0.059,0.125,79654.65,0.311,2.31,8886.0,0.8695652173913043,0.14874865341961152,58.12,High profitability,Monitor and refine assumptions,"Review signals indicate consumer concern around health, sodium, or ingredient quality.",Opportunity supported by favorable price feasibility.
22,Indonesia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Aggressive,54.11,170059,2.66,452356.94,412549.53,0.39,0.098,0.188,0.088,0.137,77146.76,0.187,0.45,72753.0,0.4548494983277592,0.40406112747832246,43.45,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
22,Indonesia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Base,54.11,107482,2.51,269779.82,249546.33,0.466,0.089,0.117,0.075,0.127,50158.81,0.201,0.47,42779.0,0.5016722408026756,0.1380123260764588,35.62,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
22,Indonesia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Conservative,54.11,96139,2.45,235540.55,215519.6,0.433,0.119,0.085,0.085,0.148,46336.71,0.215,0.48,35773.0,0.5484949832775919,0.0824749456316281,36.21,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
23,United States,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,53.82,75904,9.66,733232.64,676773.73,0.451,0.113,0.13,0.077,0.113,130617.33,0.193,1.72,31463.0,0.47491638795986624,0.8353197267657368,61.91,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by attractive macro-market readiness, favorable price feasibility."
23,United States,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,53.82,53470,8.64,461980.8,407467.07,0.414,0.114,0.123,0.118,0.145,83123.28,0.204,1.55,20969.0,0.5117056856187291,0.39576569284162255,46.53,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by attractive macro-market readiness, favorable price feasibility."
23,United States,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,53.82,42608,9.75,415428.0,384686.33,0.469,0.11,0.122,0.074,0.101,76167.89,0.198,1.79,17216.0,0.4916387959866221,0.3585836708196777,43.84,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by attractive macro-market readiness, favorable price feasibility."
24,Malaysia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,53.44,70418,6.52,459125.36,405866.82,0.384,0.101,0.154,0.116,0.099,106337.11,0.262,1.51,21502.0,0.7056856187290971,0.3931538140905101,58.07,High profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
24,Malaysia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,53.44,51838,8.05,417295.9,388919.78,0.414,0.106,0.127,0.068,0.159,75450.44,0.194,1.46,21377.0,0.4782608695652174,0.365493377489821,43.32,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
24,Malaysia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,53.44,31667,6.6,209002.2,186429.96,0.391,0.102,0.121,0.108,0.153,43438.18,0.233,1.37,10873.0,0.6086956521739131,0.03499573138790951,37.92,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
25,Viet Nam,Frozen mandu,Frozen Korean mandu family pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,53.29,86811,9.53,827308.83,777670.3,0.443,0.111,0.101,0.06,0.113,180419.51,0.232,2.08,29935.0,0.6053511705685619,1.0,76.32,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
25,Viet Nam,Frozen mandu,Frozen Korean mandu family pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,53.29,64393,9.06,583400.58,539645.54,0.477,0.107,0.089,0.075,0.157,91739.74,0.17,1.42,30303.0,0.39799331103678937,0.6115033195546699,48.34,Moderate profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
25,Viet Nam,Frozen mandu,Frozen Korean mandu family pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,53.29,38495,8.56,329517.2,300190.17,0.4,0.061,0.127,0.089,0.129,84953.82,0.283,2.21,10882.0,0.7759197324414715,0.22067164154012914,55.38,High profitability,Monitor and refine assumptions,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
26,Indonesia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,53.11,71754,9.24,663006.96,606651.37,0.393,0.091,0.15,0.085,0.139,137709.86,0.227,1.92,25288.0,0.5886287625418061,0.7208681710326593,64.15,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
26,Indonesia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,53.11,51233,8.95,458535.35,428272.02,0.502,0.061,0.115,0.066,0.111,90365.4,0.211,1.76,19425.0,0.5351170568561873,0.42972289129371244,49.3,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
26,Indonesia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,53.11,36018,8.56,308314.08,276249.42,0.518,0.078,0.109,0.104,0.14,42818.66,0.155,1.19,18590.0,0.34782608695652173,0.18159628693260205,28.13,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by positive recent trend momentum, favorable price feasibility."
27,Indonesia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,52.72,87868,7.12,625620.16,580575.51,0.486,0.089,0.1,0.072,0.103,128887.76,0.222,1.47,31665.0,0.5719063545150502,0.678307955659447,61.45,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
27,Indonesia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,52.72,75817,6.63,502666.71,462956.04,0.506,0.119,0.112,0.079,0.113,69443.41,0.15,0.92,40436.0,0.3311036789297659,0.48633308022741595,39.32,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
27,Indonesia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,52.72,50059,7.39,369936.01,344410.43,0.447,0.094,0.124,0.069,0.086,85758.2,0.249,1.71,16084.0,0.6622073578595318,0.29284658761897164,51.45,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
28,Philippines,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Aggressive,51.87,143164,2.4,343593.6,318511.27,0.398,0.103,0.103,0.073,0.103,93323.8,0.293,0.65,39090.0,0.8093645484949832,0.2505747765421641,58.58,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
28,Philippines,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Base,51.87,116806,2.5,292015.0,272449.99,0.511,0.069,0.081,0.067,0.146,52582.85,0.193,0.45,48417.0,0.47491638795986624,0.17539497433560836,35.51,Moderate profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
28,Philippines,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium,Monitor,Conservative,51.87,99856,2.47,246644.32,219513.44,0.406,0.099,0.09,0.11,0.09,69146.74,0.315,0.69,25361.0,0.882943143812709,0.08899356824143462,56.54,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
29,Indonesia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,51.6,93373,5.51,514485.23,474355.38,0.421,0.061,0.151,0.078,0.11,121909.33,0.257,1.31,29066.0,0.6889632107023411,0.5049387317960498,61.54,High profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
29,Indonesia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,51.6,54001,6.1,329406.1,303383.02,0.452,0.068,0.126,0.079,0.133,67047.65,0.221,1.24,19548.0,0.568561872909699,0.2258829129480276,43.15,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
29,Indonesia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,51.6,51164,5.26,269122.64,253513.53,0.501,0.062,0.13,0.058,0.132,44364.87,0.175,0.87,23390.0,0.4147157190635451,0.1444874676989636,30.66,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
30,Malaysia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,51.51,61254,9.39,575175.06,519383.08,0.393,0.1,0.101,0.097,0.147,134520.22,0.259,2.2,18921.0,0.6956521739130435,0.5784315565680952,64.88,High profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
30,Malaysia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,51.51,59516,9.21,548142.36,516898.25,0.422,0.081,0.159,0.057,0.112,116819.0,0.226,1.96,21068.0,0.5852842809364549,0.574375893592231,58.09,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
30,Malaysia,Frozen mandu,Halal-certified frozen mandu for Muslim-majority markets,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,51.51,48069,8.94,429736.86,400514.75,0.458,0.118,0.111,0.068,0.103,84108.1,0.21,1.75,18312.0,0.5317725752508361,0.38441833031768313,47.28,Moderate profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.
31,Viet Nam,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,51.42,79187,6.48,513131.76,481317.59,0.437,0.095,0.111,0.062,0.103,122254.67,0.254,1.54,24941.0,0.6789297658862876,0.516302236473308,61.39,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
31,Viet Nam,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,51.42,59018,6.64,391879.52,355042.85,0.478,0.092,0.111,0.094,0.157,57516.94,0.162,0.97,29145.0,0.3712374581939799,0.310200495990103,34.68,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
31,Viet Nam,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,51.42,52151,6.28,327508.28,292792.4,0.43,0.07,0.101,0.106,0.133,77882.78,0.266,1.49,15685.0,0.7190635451505017,0.20859722924916402,51.49,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility."
32,Philippines,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,47.95,76066,8.66,658731.56,597469.52,0.491,0.068,0.126,0.093,0.135,107544.51,0.18,1.41,33808.0,0.43143812709030094,0.7058818383278308,54.12,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
32,Philippines,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,47.95,51439,7.88,405339.32,370480.14,0.417,0.11,0.083,0.086,0.125,98177.24,0.265,1.91,15529.0,0.7157190635451506,0.33539676515164696,56.36,High profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
32,Philippines,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,47.95,46642,8.91,415580.22,366126.17,0.491,0.119,0.114,0.119,0.082,71028.48,0.194,1.52,19234.0,0.4782608695652174,0.32829034945036206,41.83,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility."
33,Singapore,Kimchi,Family-size kimchi value pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,47.19,51178,7.51,384346.78,343606.02,0.517,0.104,0.185,0.106,0.093,34704.21,0.101,0.68,40538.0,0.16722408026755853,0.2915336543984234,21.69,Low profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.
33,Singapore,Kimchi,Family-size kimchi value pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,47.19,51748,7.72,399494.56,359145.61,0.517,0.116,0.152,0.101,0.109,38069.43,0.106,0.74,39056.0,0.18394648829431437,0.31689689446841207,23.71,Low profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.
33,Singapore,Kimchi,Family-size kimchi value pack,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,47.19,39567,6.49,256789.83,227002.21,0.437,0.106,0.098,0.116,0.117,54934.53,0.242,1.39,13081.0,0.6387959866220736,0.10121650792896364,42.38,Moderate profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.
34,Viet Nam,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,46.87,95069,5.07,481999.83,428497.85,0.492,0.114,0.186,0.111,0.103,44992.27,0.105,0.47,72434.0,0.1806020066889632,0.4300914840625696,28.04,Low profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
34,Viet Nam,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,46.87,50649,5.53,280088.97,251239.81,0.424,0.062,0.091,0.103,0.081,85924.01,0.342,1.7,11848.0,0.9732441471571908,0.1407763719614355,64.03,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
34,Viet Nam,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,46.87,48982,5.88,288014.16,265837.07,0.453,0.107,0.079,0.077,0.119,64332.57,0.242,1.31,16193.0,0.6387959866220736,0.1646015700357762,44.91,Moderate profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
35,Philippines,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Aggressive,46.85,68864,6.03,415249.92,372894.43,0.383,0.089,0.128,0.102,0.105,110003.86,0.295,1.6,18675.0,0.8160535117056855,0.3393372949126363,62.54,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
35,Philippines,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Base,46.85,70905,6.2,439611.0,398287.57,0.515,0.086,0.096,0.094,0.135,66912.31,0.168,0.94,33765.0,0.39130434782608703,0.38078319573439756,38.71,Moderate profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
35,Philippines,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium,Monitor,Conservative,46.85,43366,5.98,259328.68,232617.83,0.396,0.075,0.123,0.103,0.111,68622.26,0.295,1.58,11761.0,0.8160535117056855,0.11038214989260814,53.38,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
36,Thailand,Frozen mandu,Mild-flavor frozen mandu for mainstream consumers,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Aggressive,46.29,84041,8.85,743762.85,682030.53,0.474,0.102,0.124,0.083,0.156,98212.4,0.144,1.17,46690.0,0.3110367892976588,0.8438997137795459,52.42,Low profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
36,Thailand,Frozen mandu,Mild-flavor frozen mandu for mainstream consumers,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Base,46.29,50101,8.71,436379.71,396669.16,0.402,0.08,0.106,0.091,0.085,129710.81,0.327,2.59,12258.0,0.923076923076923,0.37814167679074007,70.51,High profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
36,Thailand,Frozen mandu,Mild-flavor frozen mandu for mainstream consumers,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium,Monitor,Conservative,46.29,34037,8.66,294760.42,270295.31,0.476,0.096,0.105,0.083,0.104,59194.67,0.219,1.74,12434.0,0.5618729096989966,0.171878172018816,40.59,Moderate profitability,Monitor and refine assumptions,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.
